1month
DOGEUSDT: Giao dịch: 272, Lợi nhuận: 1.0818 USDT, Tỷ lệ thắng: 41.54%
ETHUSDT: Giao dịch: 322, Lợi nhuận: 18.0493 USDT, Tỷ lệ thắng: 51.24%
XRPUSDT: Giao dịch: 292, Lợi nhuận: 5.0621 USDT, Tỷ lệ thắng: 40.07%
BOMEUSDT: Giao dịch: 276, Lợi nhuận: 0.0110 USDT, Tỷ lệ thắng: 44.57%
ADAUSDT: Giao dịch: 291, Lợi nhuận: -1.0688 USDT, Tỷ lệ thắng: 40.21%
SOLUSDT: Giao dịch: 325, Lợi nhuận: 15.2566 USDT, Tỷ lệ thắng: 48.31%
NEARUSDT: Giao dịch: 313, Lợi nhuận: 13.6555 USDT, Tỷ lệ thắng: 48.24%
PEPEUSDT: Giao dịch: 291, Lợi nhuận: 0.0001 USDT, Tỷ lệ thắng: 37.11%
LINKUSDT: Giao dịch: 274, Lợi nhuận: 4.1606 USDT, Tỷ lệ thắng: 39.78%
3 month
DOGEUSDT: Giao dịch: 937, Lợi nhuận: 167.9409 USDT, Tỷ lệ thắng: 41.62%
ETHUSDT: Giao dịch: 1098, Lợi nhuận: 2358.3506 USDT, Tỷ lệ thắng: 51.91%
XRPUSDT: Giao dịch: 925, Lợi nhuận: 789.7494 USDT, Tỷ lệ thắng: 43.24%
BOMEUSDT: Giao dịch: 959, Lợi nhuận: 1.7869 USDT, Tỷ lệ thắng: 42.65%
ADAUSDT: Giao dịch: 951, Lợi nhuận: -97.5505 USDT, Tỷ lệ thắng: 39.96%
SOLUSDT: Giao dịch: 945, Lợi nhuận: 936.8715 USDT, Tỷ lệ thắng: 42.65%
NEARUSDT: Giao dịch: 954, Lợi nhuận: 1553.1086 USDT, Tỷ lệ thắng: 44.86%
PEPEUSDT: Giao dịch: 906, Lợi nhuận: 0.0081 USDT, Tỷ lệ thắng: 37.31%
LINKUSDT: Giao dịch: 992, Lợi nhuận: 496.4759 USDT, Tỷ lệ thắng: 45.06%

